震度計番号,震度観測点名称,x,y,震度,最大加速度NS[cm/s/s],最大加速度EW[cm/s/s],最大加速度UD[cm/s/s],最大加速度3成分合成[cm/s/s],最大速度NS[cm/s],最大速度EW[cm/s],最大速度UD[cm/s],最大速度3成分合成[cm/s],最大変位NS[cm],最大変位EW[cm],最大変位UD[cm],最大変位3成分合成[cm]
"42112",白老町大町,,,2,3.36,3.467,2.438,4.091,0.882,0.923,0.507,0.971,0.416,0.439,0.265,0.459
"47004",厚真町鹿沼,,,2,4.914,6.498,1.87,6.718,0.869,1.15,0.325,1.2,0.218,0.217,0.128,0.277
"47215",登別市鉱山,,,1,2.985,2.575,0.942,3.268,0.154,0.221,0.1,0.236,0.056,0.081,0.047,0.083
"47424",苫小牧市末広町,,,2,5.559,4.388,1.883,5.693,0.985,0.93,0.371,1.089,0.332,0.483,0.175,0.499
"47216",平取町仁世宇,,,1,1.525,1.476,1.207,1.943,0.375,0.346,0.201,0.422,0.12,0.141,0.078,0.151
"42113",新ひだか町静内山手町,,,2,6.234,5.089,1.842,6.541,0.878,0.826,0.404,0.908,0.254,0.251,0.165,0.259
"47003",新ひだか町静内御園,,,2,4.913,3.791,2.574,5.043,1.199,0.877,0.478,1.211,0.364,0.28,0.169,0.369
"47217",えりも町本町,,,1,1.443,1.237,0.883,1.496,0.268,0.248,0.184,0.298,0.099,0.115,0.092,0.126
"47372",浦河町野深,,,2,4.304,4.578,2.394,4.977,0.628,0.557,0.501,0.732,0.266,0.244,0.173,0.284
"47426",浦河町潮見,,,2,7.105,10.059,2.686,10.395,0.769,0.909,0.462,0.981,0.272,0.324,0.211,0.335
"47218",足寄町上螺湾,,,2,4.054,6.341,1.63,6.579,0.223,0.346,0.141,0.356,0.088,0.098,0.068,0.115
"42108",十勝清水町南４条,,,2,5.169,5.704,3.455,6.132,0.863,1.027,0.538,1.07,0.257,0.286,0.164,0.296
"42109",本別町北２丁目,,,2,6.274,5.679,8.3,8.997,0.489,0.491,0.408,0.545,0.157,0.218,0.129,0.224
"47219",幕別町忠類明和,,,1,1.855,1.871,1.493,2.199,0.395,0.301,0.316,0.407,0.191,0.142,0.134,0.192
