震度計番号,震度観測点名称,緯度,経度,震度,最大加速度NS[cm/s/s],最大加速度EW[cm/s/s],最大加速度UD[cm/s/s],最大加速度3成分合成[cm/s/s],最大速度NS[cm/s],最大速度EW[cm/s],最大速度UD[cm/s],最大速度3成分合成[cm/s],最大変位NS[cm],最大変位EW[cm],最大変位UD[cm],最大変位3成分合成[cm],地域名称,観測点所在地,緯度(度),緯度(分),経度(度),経度(分),観測開始(yyyymmddhhmm),観測終了(yyyymmddhhmm)
47261,小鹿野町両神薄,36.0202,138.8979,2,7.744,7.196,5.312,8.646,0.524,0.544,0.621,0.77,0.142,0.151,0.159,0.184,埼玉県秩父,秩父郡小鹿野町両神薄9233（旧出原分校）,36,1.2,138,53.9,199407151200,
47370,銚子市小畑新町,35.7211,140.8578,3,25.364,25.303,10.306,28.641,1.682,1.81,0.519,2.191,0.439,0.459,0.221,0.494,千葉県北東部,銚子市小畑新町8198-1（銚子市市民センター）,35,43.3,140,51.5,201903141200,
47648,銚子市川口町,35.7399,140.858,3,20.422,18.3,13.116,22.61,1.524,2.108,0.706,2.224,0.385,0.547,0.216,0.581,千葉県北東部,銚子市川口町2-6431（銚子地方気象台）,35,44.4,140,51.5,190401      ,
41316,鴨川市八色,35.114,140.0982,3,11.909,9.727,5.877,12.643,1.318,1.207,0.726,1.58,0.549,0.548,0.319,0.572,千葉県南部,鴨川市八色字長尾作9-1（鴨川市役所）,35,6.8,140,5.9,199604011200,
47022,鴨川市内浦,35.16,140.1991,2,5.17,5.023,2.58,5.286,1.01,0.957,0.434,1.316,0.53,0.426,0.19,0.659,千葉県南部,鴨川市内浦3231-6（千葉県立内浦山県民の森）,35,9.6,140,11.9,201210021200,
47674,勝浦市墨名,35.1507,140.3121,2,13.001,10.536,5.886,13.035,1.334,0.962,0.563,1.543,0.68,0.412,0.254,0.758,千葉県南部,勝浦市墨名708-1（勝浦特別地域気象観測所）,35,9.0,140,18.7,1926        ,
41321,青梅市東青梅,35.7888,139.2744,2,17.87,17.584,6.395,23.094,0.748,0.703,0.458,0.83,0.205,0.165,0.157,0.231,東京都多摩西部,青梅市東青梅1-10-8（青梅市役所）,35,47.3,139,16.5,199604011200,
47286,神津島村金長,34.1902,139.1338,2,2.676,3.784,1.865,3.869,0.534,0.564,0.222,0.566,0.209,0.296,0.096,0.297,神津島,神津島村字金長（神津島空港）,34,11.4,139,8.0,199205111200,
47675,伊豆大島町元町,34.7502,139.3553,2,6.916,5.616,3.41,7.219,0.568,0.707,0.364,0.744,0.326,0.24,0.151,0.363,伊豆大島,大島町元町1-1-14（大島町役場）,34,45.0,139,21.3,201003311300,
47023,東京利島村東山,34.5236,139.2883,2,7.406,5.463,2.815,7.882,0.588,0.632,0.323,0.681,0.273,0.324,0.146,0.352,新島,利島村字東山9号658-1,34,31.4,139,17.3,201207031200,
47024,新島村式根島,34.3347,139.2106,1,2.719,3.418,1.804,3.598,0.29,0.46,0.166,0.481,0.144,0.186,0.105,0.191,新島,新島村式根島910（ヘリポート）,34,20.1,139,12.6,201207031200,
47379,新島村大原,34.356,139.2741,2,5.218,6.405,3.518,6.518,0.56,0.584,0.305,0.791,0.206,0.259,0.106,0.278,新島,新島村大原291-4,34,21.4,139,16.4,201101061200,
47025,御蔵島村西川,33.8924,139.5907,2,8.758,10.214,5.132,11.761,0.333,0.364,0.213,0.39,0.098,0.123,0.087,0.125,三宅島,御蔵島村字西川233,33,53.5,139,35.4,201207031200,
