地域名称,震度観測点名称,観測点所在地,緯度(度),緯度(分),経度(度),経度(分),観測開始(yyyymmddhhmm),観測終了(yyyymmddhhmm)
熊本県熊本,熊本市京町（旧）,熊本市京町2-12-20(熊本地方気象台),32,48.8,130,42.5,18900201    ,200503281200
熊本県熊本,熊本市京町,熊本市京町2-12-20（熊本地方気象台）,32,48.8,130,42.4,200503281200,201105121300
熊本県熊本,熊本西区春日,熊本市西区春日2-10-1(熊本地方気象台）,32,47.2,130,41.3,201105121300,
熊本県熊本,城南町塚原,城南町塚原264,32,41.4,130,44.7,200006091200,200103221200
熊本県球磨,人吉市城本町,人吉市城本町987（人吉特別地域気象観測所）,32,13.1,130,45.3,19420330    ,200908211500
熊本県球磨,人吉市西間下町,人吉市西間下町86-1（熊本県球磨地域振興局）,32,12.4,130,45.6,201003301100,
熊本県球磨,人吉市西間下町（旧）,人吉市西間下町86-1（熊本県球磨地域振興局）,32,12.4,130,45.5,200909011500,201003301100
熊本県球磨,多良木町多良木,球摩郡多良木町多良木1648（多良木町役場）,32,15.8,130,56.1,199604011200,
熊本県天草・芦北,芦北町芦北（旧）,葦北郡芦北町大字芦北2015（芦北町役場）,32,17.9,130,29.6,199604011200,201307091200
熊本県天草・芦北,芦北町芦北,葦北郡芦北町大字芦北2015（芦北町役場）,32,17.9,130,29.6,201307091200,
熊本県天草・芦北,上天草市大矢野町,上天草市大矢野町上1514（上天草市大矢野庁舎）,32,35.2,130,25.8,199604011200,
熊本県天草・芦北,天草市本町,天草市本町本815（天草市立本町小学校）,32,28.1,130,8.1,199407151200,
熊本県天草・芦北,天草市牛深町,天草市牛深町286（牛深特別地域気象観測所）,32,11.9,130,1.6,19490601    ,
大分県北部,中津市上宮永,中津市大字上宮永字虫振364（中津市消防本部）,33,35.2,131,11.1,199604011200,
大分県北部,国東市国見町西方寺,国東市国見町西方寺696,33,38.1,131,34.0,199407151200,
大分県北部,国東市鶴川,国東市国東町鶴川136-1（国東中央公民館）,33,33.8,131,43.9,199604011200,
大分県中部,大分市長浜（旧）,大分市長浜町3-1-38(大分地方気象台),33,14.1,131,37.1,1888        ,200702281200
大分県中部,大分市長浜,大分市長浜町3-1-38（大分地方気象台）,33,14.2,131,37.2,200702281200,201702231200
大分県中部,大分市明野北,大分市明野北4-2418（天然塚公園）,33,13.8,131,39.3,201702231200,
大分県中部,別府市鶴見,別府市大字鶴見971-1（別府市営宮園住宅公園）,33,18.7,131,28.0,199604011200,
大分県中部,別府市天間,別府市大字天間311,33,20.2,131,24.4,201003311300,
大分県中部,臼杵市乙見,臼杵市大字乙見字六クワ1680-1,33,4.1,131,44.9,199407151200,
大分県南部,佐伯市中村南（旧）,佐伯市中村南町12423-1（佐伯市城東児童公園）,32,57.5,131,53.9,199604011200,200908211500
大分県南部,佐伯市蒲江蒲江浦,佐伯市蒲江大字蒲江浦4491-59（佐伯市蒲江地区公民館）,32,48.1,131,55.3,199604011200,
大分県南部,佐伯市堅田,佐伯市大字長良510（佐伯市総合運動公園）,32,55.7,131,52.2,201003311300,
大分県南部,佐伯市蒲江猪串浦,佐伯市蒲江大字猪串浦175,32,47.9,131,54.1,201207031200,
大分県南部,豊後大野市三重町,豊後大野市三重町市場1200（豊後大野市役所）,32,58.7,131,35.1,199604011200,
大分県西部,日田市三本松（旧）,日田市三本松2-3-32(日田特別地域気象観測所),33,19.3,130,55.8,19420817    ,200603011200
大分県西部,日田市中津江村合瀬,日田市中津江村合瀬（財団法人中津江村地球財団鯛生金山）,33,7.5,130,52.6,199407151200,
大分県西部,日田市三本松,日田市三本松2-3-32（日田特別地域気象観測所）,33,19.3,130,55.8,200603011200,
大分県西部,玖珠町帆足,玖珠郡玖珠町大字帆足268-5（玖珠町役場）,33,17.0,131,9.1,199604011200,
宮崎県北部平野部,延岡市天神小路（旧）,延岡市天神小路255-4（延岡特別地域気象観測所）,32,34.9,131,39.5,19610401    ,201402171200
宮崎県北部平野部,延岡市北方町未,延岡市北方町槇峰未564,32,37.7,131,27.1,199703171400,
宮崎県北部平野部,延岡市細見,延岡市細見町2971-13,32,34.5,131,35.2,199407151200,199703171400
宮崎県北部平野部,延岡市天神小路,延岡市天神小路255-4（延岡特別地域気象観測所）,32,34.9,131,39.5,201402171200,
宮崎県北部平野部,日向市亀崎,日向市亀崎2-23（日向市消防本部）,32,25.9,131,37.7,199604011200,
宮崎県北部平野部,日向市大王谷運動公園,日向市大字日知屋12106（大王谷運動公園）,32,26.6,131,38.2,201207031200,
宮崎県北部平野部,小丸川通報所,高鍋町北高鍋,32,8.0,131,31.0,19640401    ,不明
宮崎県北部平野部,新富町上富田,児湯郡新富町大字上富田7491（新富町役場）,32,4.1,131,29.2,199604011200,
宮崎県北部平野部,宮崎都農町川北,児湯郡都農町大字川北8534-4,32,14.9,131,30.1,199703171400,
宮崎県北部平野部,木城町石河内,児湯郡木城町石河内字尾鈴国有林35ら林小班,32,15.1,131,24.8,199407151200,199703171400
宮崎県北部山沿い,高千穂町三田井,西臼杵郡高千穂町三田井13（高千穂町役場）,32,42.7,131,18.5,199604011200,
宮崎県北部山沿い,高千穂通報所,西臼杵郡 高千穂町,32,42.7,131,18.2,19540601    ,不明
宮崎県南部平野部,宮崎市和知川原,宮崎市和知川原1-14(宮崎地方気象台),31,55.4,131,25.3,1922        ,200005191500
宮崎県南部平野部,宮崎市霧島,宮崎市霧島5-1-4（宮崎地方気象台）,31,56.3,131,24.9,200007181200,
宮崎県南部平野部,日南市油津,日南市油津4-12-1（油津特別地域気象観測所）,31,34.7,131,24.5,19470430    ,
宮崎県南部平野部,日南市北郷町大藤,日南市北郷町大藤甲2160-3,31,39.7,131,22.6,201307301200,
宮崎県南部平野部,串間市本城,串間市大字本城4107-1,31,29.0,131,17.0,199407151200,199806011200
宮崎県南部平野部,串間市奈留,串間市大字奈留965（仲別府地区営農研修施設）,31,31.8,131,16.2,200003281200,
宮崎県南部平野部,串間市西方（臨）,串間市大字西方8971-4(串間市保健ｾﾝﾀｰ),31,27.9,131,13.3,199806251200,200003281200
宮崎県南部山沿い,都城市菖蒲原,都城市菖蒲原町第3街区23（都城特別地域気象観測所）,31,43.8,131,4.9,19410401    ,
宮崎県南部山沿い,都城市高崎町江平,都城市高崎町江平1805-1,31,54.3,131,5.1,199604011200,
宮崎県南部山沿い,小林市真方（旧）,小林市大字真方493（西諸広域行政事務組合消防本部中央消防署）,31,59.5,130,59.3,199604011200,200908211500
宮崎県南部山沿い,小林市真方,小林市真方493（西諸広域行政事務組合消防本部中央消防署）,31,59.6,130,59.3,201003301100,
宮崎県南部山沿い,小林市真方（旧２）,小林市大字真方493（西諸広域行政事務組合消防本部中央消防署）,31,59.5,130,59.3,200909011500,201003301100
鹿児島県薩摩,鹿児島市東郡元,鹿児島市東郡元町4-1（鹿児島地方気象台）,31,33.3,130,32.9,1885        ,
鹿児島県薩摩,鹿児島市下福元,鹿児島市下福元町12107,31,30.6,130,27.2,199407151200,
鹿児島県薩摩,枕崎市高見町（旧）,枕崎市高見町310(枕崎特別地域気象観測所),31,16.3,130,17.6,19240101    ,200801250830
鹿児島県薩摩,枕崎市高見町,枕崎市高見町310（枕崎特別地域気象観測所）,31,16.3,130,17.6,200801251330,
鹿児島県薩摩,阿久根市赤瀬川（旧）,阿久根市赤瀬川413-1(阿久根特別地域気象観測所),32,1.7,130,12.1,19390111    ,200704021200
鹿児島県薩摩,阿久根市赤瀬川,阿久根市赤瀬川413-1（阿久根特別地域気象観測所）,32,1.7,130,12.0,200704021200,
鹿児島県薩摩,鹿児島出水市緑町（旧）,出水市緑町1-3出水市役所敷地内,32,5.5,130,21.2,199907211200,200704021200
鹿児島県薩摩,指宿市山川新生町,指宿市山川新生町35（山川文化ホール）,31,12.2,130,38.4,199604011200,
鹿児島県薩摩,薩摩川内市中郷,薩摩川内市中郷1-7（野間島公園）,31,49.8,130,18.6,199604011200,
鹿児島県薩摩,鹿児島東郷町斧淵２,東郷町斧淵362（東郷町役場敷地内）,31,51.9,130,20.2,199804151000,199810151200
鹿児島県薩摩,さつま町宮之城屋地（旧）,薩摩郡さつま町宮之城屋地1565-2（さつま町役場）,31,54.4,130,27.3,199604011200,201402061200
鹿児島県薩摩,さつま町宮之城屋地,薩摩郡さつま町宮之城屋地1565-2（さつま町役場）,31,54.4,130,27.3,201402061200,
鹿児島県薩摩,鹿児島鶴田町神子２,鶴田町神子663-1(鶴田町役場敷地内),31,57.0,130,28.9,199804151000,199810151200
鹿児島県薩摩,宮之城通報所,鹿児島県宮之城町虎居931,31,54.8,130,27.3,197403      ,不明
鹿児島県薩摩,いちき串木野市昭和通,いちき串木野市昭和通133-1（いちき串木野市役所敷地内）,31,42.8,130,16.4,199804151000,200704021200
鹿児島県薩摩,霧島市隼人町内山田,霧島市隼人町内山田1-11-11（隼人総合支所）,31,44.6,130,44.2,199604011200,
鹿児島県薩摩,鹿児島空港（旧）,霧島市溝辺町麓838（鹿児島空港）,31,47.9,130,43.1,200707021200,201211151600
鹿児島県薩摩,鹿児島空港,霧島市溝辺町麓838（鹿児島空港）,31,47.9,130,43.1,201803221200,
鹿児島県薩摩,伊佐市大口山野,伊佐市大口山野3203,32,8.6,130,35.8,199407151200,
鹿児島県大隅,鹿屋市新栄町,鹿屋市新栄町587,31,22.6,130,51.0,199604011200,
鹿児島県大隅,錦江町田代麓,肝属郡錦江町田代麓5138-587,31,10.2,130,55.2,199703171400,
鹿児島県大隅,鹿児島田代町麓（旧）,肝属郡田代町麓字長野4496,31,11.3,130,53.2,199407151200,199703171400
鹿児島県大隅,肝属川通報所,鹿児島県高山町新富467-1,31,21.0,130,57.0,197403      ,不明
鹿児島県大隅,志布志市志布志町志布志,志布志市志布志町志布志2-1-1（志布志支所）,31,28.6,131,6.0,199604011200,
鹿児島県十島村,鹿児島十島村中之島徳之尾,鹿児島郡十島村中之島徳之尾155-65,29,50.7,129,52.4,199407151200,
鹿児島県十島村,小宝島,十島村小宝島十島村小宝島住民生活センター敷地内,29,13.4,129,19.7,199512211000,199610011200
鹿児島県甑島,薩摩川内市下甑町青瀬,薩摩川内市下甑町青瀬字大林278,31,40.9,129,42.8,199407151200,
鹿児島県種子島,西之表市西之表（旧）,西之表市西之表6717(種子島測候所),30,44.3,130,59.5,19470529    ,200503011200
鹿児島県種子島,西之表市住吉,西之表市大字住吉大道山国有林1113林班に1小班,30,39.5,130,58.6,199407151200,
鹿児島県種子島,西之表市西之表,西之表市西之表16314-6（種子島特別地域気象観測所）,30,43.2,130,59.0,200503011200,
鹿児島県種子島,南種子町中之下,熊毛郡南種子町中之下1970-1（南種子町テニスコート）,30,23.8,130,54.0,201207031200,
鹿児島県屋久島,屋久島町小瀬田,熊毛郡屋久島町小瀬田字塩ノ道310-1（屋久島特別地域気象観測所）,30,23.0,130,39.6,19371028    ,
